,Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
7,2018/9/21,2834910000,100.011,661235,66130391,2.3325,1.093421,100.0181,100.0154,-0.0013,-0.0077,54.9405,FALSE,FALSE,0,165
8,2018/9/25,2832600000,100.002,825962,82593593,2.9159,1.093755,100.0158,100.0126,-0.0025,-0.0148,56.5101,FALSE,FALSE,0,165
9,2018/9/26,2832790000,99.989,418644,41863616,1.4779,1.093851,100.0112,100.0068,-0.0045,-0.0245,49.9541,FALSE,FALSE,0,165
10,2018/9/27,2833030000,99.992,526423,52640470,1.8582,1.093942,100.0076,100.0024,-0.0057,-0.0192,47.3378,FALSE,FALSE,0,165
11,2018/9/28,2833260000,100.056,3768467,377039625,13.3008,1.094029,100.0148,100.01,-0.0015,0.0416,61.7991,TRUE,FALSE,0,165
12,2018/10/8,2803710000,100.003,1441944,144204363,5.143,1.094902,100.0148,100.0084,-0.0025,-0.01,53.2269,TRUE,FALSE,0,165
13,2018/10/9,2804560000,100.01,1073071,107317004,3.8262,1.094985,100.0161,100.01,-0.0026,-0.0026,49.9176,TRUE,FALSE,0,165
14,2018/10/10,2804740000,100.01,1000644,100072979,3.5677,1.095067,100.0121,100.0142,-0.0027,-0.0016,47.7114,FALSE,FALSE,0,165
15,2018/10/11,2805950000,100.004,598375,59839013,2.1325,1.095147,100.0123,100.0166,-0.0032,-0.0066,44.1787,FALSE,FALSE,0,165
16,2018/10/12,2805950000,100.017,1079988,108012251,3.8489,1.095147,100.0137,100.0088,-0.0025,0.0065,46.291,FALSE,FALSE,0,165
0,2018/9/12,74400000,99.998,3521,352077,0.4733,1.067463,99.9978,99.999,0.0019,0.003,82.2235,FALSE,FALSE,0,166
1,2018/9/13,74280000,99.989,8228,822727,1.1077,1.067534,99.9966,99.9986,0.0012,-0.0061,74.2186,FALSE,FALSE,0,166
2,2018/9/14,74100000,99.994,7443,744242,1.0045,1.067624,99.995,99.9994,0.001,-0.0014,71.3696,FALSE,FALSE,0,166
3,2018/9/17,74050000,99.988,100,9999,0.0135,1.067834,99.9939,99.997,0.0004,-0.0069,66.4852,FALSE,FALSE,0,166
4,2018/9/18,73790000,99.996,100,10000,0.0136,1.067918,99.9942,99.993,0.0005,0.0014,67.2091,FALSE,FALSE,0,166
5,2018/9/19,73790000,99.988,7887,788517,1.0688,1.067994,99.9924,99.991,0,-0.0066,63.7115,FALSE,FALSE,0,166
6,2018/9/20,73380000,99.987,4849,484775,0.6608,1.068093,99.9917,99.9906,-0.0005,-0.0073,60.8823,FALSE,FALSE,0,166
7,2018/9/21,73280000,99.97,4900,490004,0.6687,1.068183,99.988,99.9858,-0.0023,-0.0223,50.5384,FALSE,FALSE,0,166
8,2018/9/25,73220000,99.97,902,90181,0.1232,1.068478,99.9848,99.9822,-0.0036,-0.0205,44.6213,FALSE,FALSE,0,166
9,2018/9/26,73210000,99.946,4478,447566,0.6117,1.068555,99.9783,99.9722,-0.0065,-0.0408,32.1285,FALSE,FALSE,0,166
10,2018/9/27,73030000,99.98,4714,471120,0.6455,1.068635,99.9779,99.9706,-0.006,-0.0052,43.1418,FALSE,TRUE,0,166
11,2018/9/28,72950000,100,18201,1820979,2.495,1.068717,99.9805,99.9732,-0.004,0.0162,45.2169,TRUE,TRUE,0,166
12,2018/10/8,72600000,99.995,5712,571098,0.7868,1.069539,99.9853,99.9782,-0.0027,0.0114,45.5455,TRUE,TRUE,0,166
