,day_old,day1,diff
105,0.49200000000000005,0.49079397320747375,-0.0012060267925262935
25,0.535,0.5336996912956238,-0.0013003087043762518
71,1.001,0.9996942281723022,-0.0013057718276976438
208,0.618,0.6165700554847717,-0.0014299445152282653
106,1.56,1.558513879776001,-0.0014861202239990767
212,0.93,0.9284895062446594,-0.001510493755340625
92,0.82,0.8183469176292419,-0.0016530823707580078
79,1.014,1.0123080015182495,-0.0016919984817505007
176,0.8640000000000001,0.8622103333473206,-0.0017896666526795446
80,0.9490000000000001,0.9470900297164917,-0.0019099702835083665
185,0.9570000000000001,0.9550837278366089,-0.0019162721633911861
134,1.61,1.6080615520477295,-0.0019384479522706055
191,0.591,0.5890570282936096,-0.0019429717063903507
24,0.534,0.5320425629615784,-0.001957437038421661
