Date,unit_total,close,volume,amt,turn,NAV_adj,BBI,MA,MACD,BIAS,KDJ,stage_high,stage_low,risk_downside,fund_id
2018/10/26,1.44069E+11,100.025,99996704,10002116223,6.9409,1.218247,100.0118,100.0094,0.0016,0.0129,78.9545,FALSE,FALSE,0,173
2018/9/26,965417700,0.692,33346300,23161516,3.4541,0.6929,0.6832,0.6876,0,2.5565,78.1529,FALSE,FALSE,-36.9346,174
2018/9/27,966898300,0.688,16909000,11656268,1.7488,0.6881,0.6836,0.6888,0.0005,1.5623,75.1789,FALSE,FALSE,-37.3714,174
2018/9/28,971117700,0.695,24937800,17282190,2.5679,0.6941,0.6856,0.6918,0.0015,2.1433,79.1791,FALSE,FALSE,-36.8253,174
2018/10/8,982517700,0.67,32998925,22340381,3.3586,0.6678,0.6832,0.6866,0.0002,-1.6273,59.0924,FALSE,FALSE,-39.2191,174
2018/10/9,1001112500,0.667,35546400,23767297,3.5507,0.6668,0.6798,0.6824,-0.001,-2.0198,41.2997,FALSE,FALSE,-39.3101,174
2018/10/10,1005917700,0.668,19743000,13195036,1.9627,0.6693,0.6765,0.6776,-0.0019,-1.8729,30.3903,FALSE,FALSE,-39.0826,174
2018/10/11,1028851600,0.619,58772100,37443161,5.7124,0.6211,0.6676,0.6638,-0.0064,-8.5447,21.8288,FALSE,TRUE,-43.4696,174
2018/10/12,1011617700,0.611,66370300,40529749,6.5608,0.6088,0.6576,0.647,-0.0106,-8.9871,18.2192,FALSE,TRUE,-44.5891,174
2018/10/15,1016117700,0.603,37888200,23095784,3.7287,0.6008,0.6459,0.6336,-0.0144,-9.2892,13.1461,FALSE,TRUE,-45.3172,174
2018/10/16,1026010300,0.596,54517981,32813940,5.3136,0.5963,0.6382,0.6194,-0.0177,-9.3881,10.0461,FALSE,TRUE,-45.7268,174
2018/10/17,1024517700,0.603,31951300,19202692,3.1187,0.6035,0.6321,0.6064,-0.0196,-7.2308,10.2231,FALSE,TRUE,-45.0714,174
2018/10/18,1028099500,0.592,32746000,19610317,3.1851,0.5927,0.6252,0.601,-0.0217,-7.7882,6.8154,FALSE,TRUE,-46.0544,174
2018/10/19,1023917700,0.61,43729800,26179955,4.2708,0.6127,0.6236,0.6008,-0.0216,-3.9622,14.2814,FALSE,TRUE,-44.2341,174
2018/10/22,987917700,0.671,74610324,48754376,7.5523,0.6737,0.6315,0.6144,-0.0165,5.8777,42.4755,FALSE,TRUE,-38.6821,174
2018/10/23,1002917700,0.679,115929181,80006066,11.5592,0.672,0.6418,0.631,-0.0117,7.3659,52.49,FALSE,TRUE,-38.8368,174
2018/10/24,1033408100,0.688,118652224,81415134,11.4816,0.6875,0.6528,0.648,-0.007,8.5316,61.4565,FALSE,FALSE,-37.426,174
